Comment,Designator,Footprint,LCSC
1k,"R1,R5",R_0402_1005Metric,C11702
TLV73333PDBV,U1,SOT-23-5,C134139
27,"R3,R4",R_0402_1005Metric,C138021
SOT-353_SC-70-5,U4,SOT-353_SC-70-5,C151417
100n,"C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C41,C5,C6,C7,C9",C_0402_1005Metric,C1525
30p,"C2,C3",C_0402_1005Metric,C1570
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
RP2040,U3,RP2040-QFN-56,C2040
10k,R2,R_0402_1005Metric,C25744
5.1k,"R6,R7",R_0402_1005Metric,C25905
double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D3,D4,D5,D6,D7,D8,D9",double LED-SMD_4P-L5.0-W5.0-BL_TC5050RGB_1,C2761795
KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,"SW1,SW2,SW3,SW4,SW5,SW6",KEY-SMD_4P-L6.0-W6.0-P4.50-LS9.0,C455110
1u,"C1,C10,C4,C8",C_0402_1005Metric,C52923
Kailh_socket_PG1350_reversible,"SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW7,SW8,SW9",Kailh_socket_PG1350_reversible,C5333465
Crystal_GND24,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
