Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric,145.8,-42.75,90.0,top
C2,30p,C_0402_1005Metric,129.9,-54.6,0.0,top
C3,30p,C_0402_1005Metric,133.1,-57.25,-90.0,top
C4,1u,C_0402_1005Metric,141.0,-42.75,90.0,top
C5,100n,C_0402_1005Metric,127.75,-34.8,0.0,top
C6,100n,C_0402_1005Metric,130.6,-40.1,90.0,top
C7,100n,C_0402_1005Metric,133.45,-53.3,-90.0,top
C8,1u,C_0402_1005Metric,134.85,-40.7,90.0,top
C9,100n,C_0402_1005Metric,131.65,-40.7,90.0,top
C10,1u,C_0402_1005Metric,135.9,-41.7,90.0,top
C11,100n,C_0402_1005Metric,126.6,-44.0,180.0,top
C12,100n,C_0402_1005Metric,137.1,-48.4,0.0,top
C13,100n,C_0402_1005Metric,125.758,-50.8,180.0,top
C14,100n,C_0402_1005Metric,132.42,-53.3,-90.0,top
C15,100n,C_0402_1005Metric,137.1,-44.45,0.0,top
C16,100n,C_0402_1005Metric,137.1,-43.4,0.0,top
C17,100n,C_0402_1005Metric,53.099865,-53.945904,90.0,top
C18,100n,C_0402_1005Metric,63.246,-76.708,90.0,top
C19,100n,C_0402_1005Metric,92.456,-76.708,90.0,top
C20,100n,C_0402_1005Metric,82.042,-53.34,-90.0,top
C21,100n,C_0402_1005Metric,119.126,-88.392,90.0,top
C22,100n,C_0402_1005Metric,108.966,-64.996,90.0,top
C23,100n,C_0402_1005Metric,154.178,-76.708,90.0,top
C24,100n,C_0402_1005Metric,143.743013,-54.013637,90.0,top
C25,100n,C_0402_1005Metric,180.594,-65.22058,90.0,top
C26,100n,C_0402_1005Metric,209.55,-65.126299,90.0,top
C26,100n,C_0402_1005Metric,170.290747,-42.458484,90.0,top
C27,100n,C_0402_1005Metric,199.274775,-42.364203,90.0,top
C28,100n,C_0402_1005Metric,238.506,-65.339424,90.0,top
C29,100n,C_0402_1005Metric,228.233982,-42.577328,90.0,top
C30,100n,C_0402_1005Metric,233.426,-96.687178,90.0,top
C31,100n,C_0402_1005Metric,222.74209,-73.925082,90.0,top
C32,100n,C_0402_1005Metric,204.262953,-96.70682,90.0,top
C33,100n,C_0402_1005Metric,193.579043,-73.944724,90.0,top
C34,100n,C_0402_1005Metric,175.419776,-96.682513,90.0,top
C35,100n,C_0402_1005Metric,164.735866,-73.920417,90.0,top
C36,100n,C_0402_1005Metric,148.815463,-107.811175,90.0,top
C37,100n,C_0402_1005Metric,138.131553,-85.049079,90.0,top
C38,100n,C_0402_1005Metric,137.011013,-141.276978,90.0,top
C39,100n,C_0402_1005Metric,126.327103,-118.514882,90.0,top
C41,100n,C_0402_1005Metric,124.206,-63.754,90.0,top
